id,cohort,tray,row,col,genotype,generation,size1,size2,size3,observer,
424,1,3,B,4,6124x6184 rep2,F8,,,,,
1117,1,3,B,5,9399x6097 rep2,F8,,,,,
871,1,3,B,6,8237x6194 rep2,F8,,,,,
205,1,3,C,1,6030x992 rep1,F8,,,,,
1609,1,3,C,2,6194,parent,,,,,
10,1,3,C,3,1002x6244 rep2,F8,,,,,
1654,1,3,C,4,6237,parent,,,,,
409,1,3,C,5,6115x1585 rep2,F8,,,,,
1147,1,3,C,6,9408x9352 rep2,F8,,,,,
130,1,3,D,1,5856x9452 rep2,F8,,,,,
118,1,3,D,2,5831x8237 rep2,F8,,,,,
1519,1,3,D,3,6128,parent,,,,,
1498,1,3,D,4,6115,parent,,,,,
1510,1,3,D,5,6125,parent,,,,,
892,1,3,D,6,8247x6154 rep1,F8,,,,,
1846,1,3,E,1,9392,parent,,,,,
1054,1,3,E,2,9380x1063 rep1,F8,,,,,
898,1,3,E,3,8256x8376 rep1,F8,,,,,
1021,1,3,E,4,9343x8259 rep2,F8,,,,,
163,1,3,E,5,6017x9392 rep2,F8,,,,,
1123,1,3,E,6,9402x6169 rep2,F8,,,,,
907,1,3,F,1,8258x6115 rep2,F8,,,,,
1840,1,3,F,2,9390,parent,,,,,
1933,1,3,F,3,992,parent,,,,,
91,1,3,F,4,1585x9427 rep1,F8,,,,,
574,1,3,F,5,6171x6074 rep2,F8,,,,,
1936,1,3,F,6,997,parent,,,,,
856,1,3,G,1,8230x6195 rep1,F8,,,,,
1075,1,3,G,2,9386x6171 rep2,F8,,,,,
616,1,3,G,3,6191x6965 rep2,F8,,,,,
1798,1,3,G,4,9339,parent,,,,,
1573,1,3,G,5,6166,parent,,,,,
1258,1,3,G,6,9481x9399 rep1,F8,,,,,
877,1,3,H,1,8240x6036 rep2,F8,,,,,
1666,1,3,H,2,6243,parent,,,,,
1447,1,3,H,3,6092,parent,,,,,
79,1,3,H,4,1435x6240 rep1,F8,,,,,
103,1,3,H,5,5829x9336 rep1,F8,,,,,
1072,1,3,H,6,9386x6171 rep1,F8,,,,,
1864,1,4,A,1,9405,parent,,,,,
799,1,4,A,2,6913x6149 rep2,F8,,,,,
553,1,4,A,3,6163x9405 rep1,F8,,,,,
853,1,4,A,4,8227x6216 rep2,F8,,,,,
1876,1,4,A,5,9412,parent,,,,,
1771,1,4,A,6,8422,parent,,,,,
256,1,4,B,1,6043x9453 rep2,F8,,,,,
1549,1,4,B,2,6145,parent,,,,,
925,1,4,B,3,8307x9481 rep2,F8,,,,,
1360,1,4,B,4,6013,parent,,,,,
1114,1,4,B,5,9399x6097 rep1,F8,,,,,
229,1,4,B,6,6036x6203 rep1,F8,,,,,
295,1,4,C,1,6074x9421 rep2,F8,,,,,
454,1,4,C,2,6131x6113 rep2,F8,,,,,
1096,1,4,C,3,9391x9353 rep1,F8,,,,,
1633,1,4,C,4,6210,parent,,,,,
1051,1,4,C,5,9371x6021 rep2,F8,,,,,
715,1,4,C,6,6221x9455 rep1,F8,,,,,
1453,1,4,D,1,6097,parent,,,,,
946,1,4,D,2,8376x6201 rep1,F8,,,,,
1888,1,4,D,3,9427,parent,,,,,
1534,1,4,D,4,6136,parent,,,,,
241,1,4,D,5,6040x6041 rep1,F8,,,,,
1699,1,4,D,6,6965,parent,,,,,
1546,1,4,E,1,6142,parent,,,,,
34,1,4,E,2,1137x1074 rep2,F8,,,,,
70,1,4,E,3,1318x6035 rep2,F8,,,,,
1720,1,4,E,4,8231,parent,,,,,
1627,1,4,E,5,6203,parent,,,,,
622,1,4,E,6,6192x1062 rep2,F8,,,,,
