id,cohort,tray,row,col,genotype,generation
811,1,11,D,1,6918x9323 rep2,F8
1252,1,11,D,2,9476x991 rep1,F8
1930,1,11,D,3,991,parent
547,1,11,D,4,6163x6111 rep1,F8
802,1,11,D,5,6917x6011 rep1,F8
1192,1,11,D,6,9434x6177 rep1,F8
1480,1,11,E,1,6108,parent
1228,1,11,E,2,9454x1363 rep1,F8
766,1,11,E,3,6255x6136 rep1,F8
283,1,11,E,4,6071x6145 rep1,F8
1468,1,11,E,5,6104,parent
565,1,11,E,6,6169x8230 rep1,F8
1333,1,11,F,1,5829,parent
1354,1,11,F,2,6011,parent
490,1,11,F,3,6137x5867 rep2,F8
1729,1,11,F,4,8241,parent
1141,1,11,F,5,9407x6040 rep2,F8
325,1,11,F,6,6090x9416 rep2,F8
1825,1,11,G,1,9381,parent
751,1,11,G,2,6243x6180 rep2,F8
1231,1,11,G,3,9454x1363 rep2,F8
1132,1,11,G,4,9405x6100 rep1,F8
466,1,11,G,5,6133x6020 rep2,F8
52,1,11,G,6,1254x6076 rep2,F8
1537,1,11,H,1,6137,parent
1240,1,11,H,2,9470x6107 rep1,F8
1372,1,11,H,3,6021,parent
1531,1,11,H,4,6134,parent
1663,1,11,H,5,6241,parent
1603,1,11,H,6,6192,parent
541,1,12,A,1,6154x6221 rep1,F8
526,1,12,A,2,6149x9395 rep2,F8
1135,1,12,A,3,9405x6100 rep2,F8
1822,1,12,A,4,9380,parent
178,1,12,A,5,6021x9407 rep1,F8
1903,1,12,A,6,9451,parent
577,1,12,B,1,6172x6148 rep1,F8
1642,1,12,B,2,6218,parent
1465,1,12,B,3,6102,parent
607,1,12,B,4,6189x6220 rep1,F8
1249,1,12,B,5,9471x9450 rep2,F8
1675,1,12,B,6,6255,parent
460,1,12,C,1,6132x6255 rep2,F8
604,1,12,C,2,6184x6025 rep2,F8
1801,1,12,C,3,9343,parent
910,1,12,C,4,8259x6217 rep1,F8
193,1,12,C,5,6024x6124 rep1,F8
904,1,12,C,6,8258x6115 rep1,F8
406,1,12,D,1,6115x1585 rep1,F8
1369,1,12,D,2,6020,parent
427,1,12,D,3,6125x6099 rep1,F8
595,1,12,D,4,6180x1317 rep1,F8
1816,1,12,D,5,9369,parent
211,1,12,D,6,6034x6231 rep1,F8
1753,1,12,E,1,8334,parent
1564,1,12,E,2,6153,parent
1222,1,12,E,3,9453x6106 rep1,F8
1216,1,12,E,4,9452x6114 rep1,F8
1126,1,12,E,5,9404x9390 rep1,F8
1081,1,12,E,6,9388x9057 rep2,F8
412,1,12,F,1,6118x8227 rep1,F8
940,1,12,F,2,8369x6132 rep1,F8
535,1,12,F,3,6151x9408 rep1,F8
1507,1,12,F,4,6124,parent
1411,1,12,F,5,6046,parent
670,1,12,F,6,6202x9402 rep2,F8
556,1,12,G,1,6163x9405 rep2,F8
244,1,12,G,2,6040x6041 rep2,F8
121,1,12,G,3,5835x9058 rep1,F8
109,1,12,G,4,5830x6085 rep1,F8
862,1,12,G,5,8231x8386 rep1,F8
259,1,12,G,6,6046x6191 rep1,F8
331,1,12,H,1,6092x6125 rep2,F8
1597,1,12,H,2,6189,parent
